"","device_id","id_type","latitude","longitude","horizontal_accuracy","timestamp","ip_address","device_os","os_version","user_agent","country","source_id","publisher_id","app_id","location_context","geohash"
"16113","2421112d-66fc-4cda-ba53-0d82d4ca4103","aaid",44.954704,-92.36642,12,1.6e+12,"","Android","","","US",24,"abdf882c25e08d9ba219fe33f17591fe","e24c17af1c270fd32eee89dc3bcea163",NA,"9zyrdpub4kr8"
"14785","c440ee14-76ee-4c2f-af6b-1ba8e627df9b","aaid",38.512096,-82.72413,15,1.6e+12,"104.15.196.155","Android","","","US",24,"79181a105bb9a94374311e2cd3400f2a","1a728c042afc54b0bfce2d46610289d5",NA,"dnv5jdfjhp4g"
"12092","C095DC66-5F59-42E3-98CA-B568070B0478","idfa",42.289185,-83.478485,14,1.6e+12,"104.0.216.8","iOS","","","US",24,"79181a105bb9a94374311e2cd3400f2a","c42f42e37f52a0870286c2362dbc9c8a",NA,"dps8s6sb673u"
"13024","eb045961-ee67-4ddc-97c6-8a6c4f7499e6","aaid",44.46848,-70.18198,3,1.6e+12,"","Android","","","US",24,"907602dad23f9b70a59dbfe7c62f0be1","2bfef19b8fdbfe3b5bf0cd388831d0df",NA,"dryhfzpp9mmd"
"18021","b9c2c64f-c750-45ee-b372-8c92c01b3bbb","aaid",38.20167,-92.84115,48,1.6e+12,"","Android","","","US",24,"abdf882c25e08d9ba219fe33f17591fe","e24c17af1c270fd32eee89dc3bcea163",NA,"9yvcr67hu7wp"
"1439","1010E7EF-4EB2-429B-9FFB-8E7227904F3F","idfa",40.5488,-80.0474,83,1.6e+12,"174.229.129.0","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dppndmxmbk7q"
"5942","72e8ddee-0d6a-4f84-83b4-5ba4d9bdb8e0","aaid",40.81715,-73.95349,11.65,1.6e+12,"172.58.228.158","Android","10","Dalvik/2.1.0 (Linux; U; Android 10; SM-G960U Build/QP1A.190711.020)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"dr72jns9nu20"
"21300","9C17C66A-6CE7-4BC7-A0C6-8BE75043D719","idfa",32.3895,-89.9562,31,1.6e+12,"173.235.222.233","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"djb02brfs87g"
"13854","a6c791b4-3d1f-4ca0-971f-e4ab57bf2cb8","aaid",34.512886,-93.23674,9,1.6e+12,"","Android","","","US",24,"abdf882c25e08d9ba219fe33f17591fe","e24c17af1c270fd32eee89dc3bcea163",NA,"9yjsq6gh4kr8"
"7658","10A90C34-D481-4A5C-A036-F460AE4988FD","idfa",37.330173,-121.84978,65,1.6e+12,"174.251.163.191","iOS","","","US",18,"2A536D6FFD39F4E4","A02C86BC7AD4759D",NA,"9q9k75z8n2sy"
"10066","96D8B480-C89D-46C4-B89F-13288AE99238","idfa",37.050777,-100.92293,1414,1.6e+12,"107.129.53.128","iOS","","","US",18,"2A536D6FFD39F4E4","A02C86BC7AD4759D",NA,"9y84z2yhmmd8"
"17912","6DD1B32F-0B8B-4F64-8B70-D18EAAF320A6","idfa",34.394035,-103.32347,65,1.6e+12,"75.111.123.98","iOS","","","US",18,"2A536D6FFD39F4E4","A02C86BC7AD4759D",NA,"9wne8v4pu8gu"
"7808","14b903ec-95e8-4643-85bb-d322c4dbbb3c","aaid",45.226345,-85.260315,2400,1.6e+12,"107.77.192.79","Android","8.1","Dalvik/2.1.0 (Linux; U; Android 8.1.0; LM-X210APM Build/OPM1.171019.026)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"f0537c5qd9v2"
"3038","845A8B46-51DB-4311-BEBE-621D4A480C14","idfa",32.8685,-97.2863,8,1.6e+12,"174.197.68.12","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"9vfffpw2bukq"
